City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Clinton,US,42.587,-82.9199,72.25,81,100,10.36,thunderstorm
273,Piopio,NZ,-38.4667,175.0167,65.08,96,100,7.23,overcast clouds
274,Witu,KE,-2.3889,40.4382,76.8,85,26,11.45,light rain
275,Ponta Do Sol,PT,32.6667,-17.1,68.72,84,36,6.38,scattered clouds
276,La Asuncion,VE,11.0333,-63.8628,80.33,83,34,20.71,scattered clouds
277,Taree,AU,-31.9,152.4667,72.07,72,56,1.9,broken clouds
278,Iquique,CL,-20.2208,-70.1431,60.84,76,100,3.71,overcast clouds
279,Cidreira,BR,-30.1811,-50.2056,59.99,82,98,14.63,overcast clouds
280,Kavieng,PG,-2.5744,150.7967,84.11,65,100,1.99,overcast clouds
281,Babu,CN,24.4167,111.5167,60.53,88,100,7.16,overcast clouds
282,Shakiso,ET,5.75,38.9167,55.17,97,81,4.12,broken clouds
283,Amalapuram,IN,16.5833,82.0167,83.97,82,5,4.09,clear sky
284,Dorna,RO,47.35,25.4333,48.88,92,65,0.31,broken clouds
285,Turukhansk,RU,65.8167,87.9833,57.4,58,100,6.82,overcast clouds
286,Shaunavon,CA,49.6501,-108.4181,67.78,32,95,5.3,overcast clouds
287,Miandoab,IR,36.9694,46.1027,62.98,50,0,8.66,clear sky
288,San Luis,AR,-33.295,-66.3356,45.12,41,0,9.22,clear sky
289,Honjo,JP,36.2333,139.1833,59.94,90,100,2.46,light rain
290,Panguna,PG,-6.3164,155.4848,79.99,68,71,1.74,light rain
291,Sankheda,IN,22.1667,73.5833,82.18,75,0,7.76,clear sky
292,Tura,IN,25.5198,90.2201,75.63,97,100,6.82,moderate rain
293,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,87,0,6.91,clear sky
294,Mongar,BT,27.2747,91.2396,62.87,87,99,0.94,overcast clouds
295,Hervey Bay,AU,-25.2986,152.8535,79.02,88,0,3.0,clear sky
296,Zabid,YE,14.1951,43.3152,83.61,39,0,2.95,clear sky
297,Wamba,NG,8.9333,8.6,77.77,73,68,2.66,broken clouds
298,Togur,RU,58.3631,82.8265,58.41,64,10,6.73,clear sky
299,Dikson,RU,73.5069,80.5464,34.59,93,100,15.12,overcast clouds
300,Dingle,PH,10.9995,122.6711,84.52,69,99,1.77,overcast clouds
301,Necochea,AR,-38.5473,-58.7368,53.24,76,100,25.14,overcast clouds
302,Quatre Cocos,MU,-20.2078,57.7625,73.51,85,45,11.03,moderate rain
303,Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,10.2,light rain
304,Omsukchan,RU,62.5333,155.8,35.55,96,100,7.27,overcast clouds
305,Aleksandrov Gay,RU,50.147,48.5704,47.64,89,1,9.93,clear sky
306,Bonavista,CA,48.6499,-53.1147,31.66,81,12,6.93,few clouds
307,Banda Aceh,ID,5.5577,95.3222,82.67,77,99,11.86,overcast clouds
308,Senanga,ZM,-16.1167,23.2667,56.19,57,0,5.61,clear sky
309,Butaritari,KI,3.0707,172.7902,82.04,73,40,10.98,scattered clouds
310,Zambezi,ZM,-13.5432,23.1047,53.87,61,0,5.86,clear sky
311,Bubaque,GW,11.2833,-15.8333,78.89,86,38,12.19,scattered clouds
312,Aklavik,CA,68.2191,-135.0107,32.23,99,100,7.49,overcast clouds
313,San Cristobal,VE,7.7669,-72.225,77.18,94,99,2.68,overcast clouds
314,Bambanglipuro,ID,-7.95,110.2833,81.82,81,95,1.39,overcast clouds
315,Pitimbu,BR,-7.4706,-34.8086,77.59,85,46,6.64,scattered clouds
316,Iquitos,PE,-3.7481,-73.2472,78.84,94,75,2.3,broken clouds
317,Zvishavane,ZW,-20.3267,30.0665,55.27,97,5,5.39,clear sky
318,Farah,AF,32.5,62.5,65.64,33,0,4.14,clear sky
319,Marau,BR,-28.4492,-52.2,54.64,97,98,5.28,overcast clouds
320,Abu Kamal,SY,34.4506,40.9171,70.09,54,0,19.62,clear sky
321,Soyo,AO,-6.1349,12.3689,77.23,90,74,6.46,broken clouds
322,Altamira,BR,-3.2033,-52.2064,73.8,98,100,2.13,moderate rain
323,Hrinova,SK,48.5779,19.5257,51.3,77,14,3.2,few clouds
324,Upernavik,GL,72.7868,-56.1549,10.45,92,37,6.96,scattered clouds
325,Paralimni,CY,35.0375,33.9833,63.09,83,0,1.01,clear sky
326,Minab,IR,27.1467,57.0801,82.89,25,0,1.99,clear sky
327,Yuzhnyy,RU,53.2542,83.6936,58.53,77,0,11.18,clear sky
328,Saint-Pierre,RE,-21.3393,55.4781,70.92,68,75,5.75,broken clouds
329,Saint-Philippe,RE,-21.3585,55.7679,67.59,87,78,11.16,light rain
330,Bollnas,SE,61.3482,16.3946,39.27,60,1,10.94,clear sky
331,Lucea,JM,18.451,-78.1736,77.86,78,93,2.66,overcast clouds
332,Hammerfest,NO,70.6634,23.6821,37.85,100,75,16.11,light rain
333,Nemuro,JP,43.3236,145.575,48.16,72,2,15.75,clear sky
334,Abha,SA,18.2164,42.5053,62.42,9,0,5.75,clear sky
335,Alice Springs,AU,-23.7,133.8833,69.22,32,40,12.66,scattered clouds
336,Viedma,AR,-40.8135,-62.9967,52.27,74,100,19.01,overcast clouds
337,Iracoubo,GF,5.4802,-53.2011,77.77,93,100,8.7,moderate rain
338,Port-Gentil,GA,-0.7193,8.7815,80.2,87,100,11.27,light rain
339,Shirvan,AZ,39.9509,48.8994,64.81,54,100,7.02,overcast clouds
340,Channel-Port Aux Basques,CA,47.5702,-59.1367,42.58,91,88,7.38,overcast clouds
341,Walvis Bay,NA,-22.9575,14.5053,65.35,63,1,4.61,clear sky
342,Sao Marcos,BR,-28.9711,-51.0681,52.2,99,100,2.62,overcast clouds
343,Sola,VU,-13.8833,167.55,84.87,74,100,6.91,overcast clouds
344,Port-Cartier,CA,50.0334,-66.8654,43.02,85,100,12.53,overcast clouds
345,Fairbanks,US,64.8378,-147.7164,52.3,47,75,12.66,broken clouds
